
25
	0	1	1	2	1
	0	1	2	3	3
	0	1	3	3	6
	0	1	4	2	9
	3	1	1	1	15
	3	1	1	1	19
	3	1	2	1	20
	3	1	2	1	21
	3	1	2	1	22
	3	1	3	1	15
	3	1	3	1	21
	3	1	3	1	23
	3	1	4	1	17
	3	1	4	1	22
	-2	2	11	1	20
	3	1	21	1	17
	-2	2	13	1	24
	3	1	21	1	19
	-2	2	15	1	24
	-2	2	17	1	24
	-2	2	23	2	19
	-2	2	21	1	23
	-2	2	25	1	24
	-2	4	27	1	25
	4	1	24	0	0

30
	5
	6
	7
	8
	9
	10
	11
	12
	13
	14
	5
	10
	16
	13
	6
	18
	7
	15
	18
	16
	9
	14
	8
	11
	22
	12
	20
	19
	17
	23

4
	1
	2
	3
	4

1
	24

0	0

0	0
