
30
	0	1	1	1	16
	0	1	2	1	29
	0	1	3	1	14
	0	1	4	1	23
	4	1	6	0	0
	-3	1	17	1	5
	0	1	5	1	28
	-2	2	9	1	9
	4	1	8	0	0
	0	1	6	1	18
	3	1	28	1	12
	4	1	11	0	0
	0	1	7	1	29
	-2	2	15	1	15
	4	1	14	0	0
	-3	1	1	2	20
	3	1	28	1	6
	2	2	1	2	24
	3	1	16	1	18
	1	2	3	1	25
	3	1	29	1	20
	3	1	18	1	20
	1	2	5	1	25
	3	1	18	1	23
	-1	2	7	1	28
	3	1	16	1	8
	3	1	28	1	8
	-2	2	11	3	17
	-2	2	13	2	22
	3	1	29	1	14

25
	19
	10
	21
	22
	4
	24
	23
	20
	26
	27
	7
	25
	2
	13
	3
	30
	11
	17
	27
	19
	26
	21
	30
	22
	24

7
	1
	2
	3
	4
	7
	10
	13

4
	6
	8
	11
	14
