
844
	0	1	1	2	725
	0	1	2	8	727
	0	1	3	3	735
	0	1	4	7	1032
	0	1	5	11	738
	0	1	6	6	749
	0	1	7	3	755
	0	1	8	4	758
	0	1	9	5	762
	0	1	10	3	767
	0	1	11	5	770
	0	1	12	5	775
	0	1	13	5	780
	0	1	14	1	96
	0	1	15	4	1217
	0	1	16	14	785
	0	1	17	15	834
	0	1	18	5	930
	4	1	20	0	0
	-2	2	604	1	19
	4	1	22	0	0
	-2	2	606	1	21
	4	1	24	0	0
	-2	3	628	1	23
	4	1	26	0	0
	-2	3	631	1	25
	4	1	28	0	0
	-2	2	640	1	27
	4	1	30	0	0
	-2	2	642	1	29
	4	1	32	0	0
	-2	2	644	1	31
	4	1	34	0	0
	-2	3	646	1	33
	4	1	36	0	0
	-2	2	649	1	35
	4	1	38	0	0
	-2	4	651	1	37
	4	1	40	0	0
	-2	3	655	1	39
	4	1	42	0	0
	-2	2	658	1	41
	4	1	44	0	0
	-2	4	676	1	43
	4	1	46	0	0
	-1	2	514	1	45
	4	1	48	0	0
	-2	4	694	1	47
	4	1	50	0	0
	-1	2	520	1	49
	4	1	52	0	0
	-2	4	698	1	51
	4	1	54	0	0
	-2	3	713	1	53
	4	1	56	0	0
	-1	4	528	1	55
	0	1	19	25	935
	2	2	187	1	59
	4	1	58	0	0
	0	1	20	35	960
	2	2	189	1	62
	4	1	61	0	0
	0	1	21	35	799
	2	2	191	1	65
	4	1	64	0	0
	0	1	22	32	849
	2	2	193	1	68
	4	1	67	0	0
	0	1	23	49	881
	2	2	195	1	71
	4	1	70	0	0
	-3	1	73	5	1039
	3	1	1	1	72
	-3	1	75	5	1120
	3	1	2	1	74
	-3	1	77	2	1231
	3	1	3	1	76
	-3	1	79	12	1108
	3	1	5	1	78
	-3	1	81	1	657
	3	1	6	1	80
	-3	1	83	3	1221
	3	1	7	1	82
	-3	1	85	2	1224
	3	1	8	1	84
	-3	1	87	1	440
	3	1	9	1	86
	-3	1	89	3	1226
	3	1	10	1	88
	-3	1	91	2	1044
	3	1	11	1	90
	-3	1	93	3	1046
	3	1	12	1	92
	-3	1	95	1	183
	3	1	13	1	94
	-3	1	14	2	1229
	-3	1	98	13	1082
	3	1	16	1	97
	-3	1	100	33	1049
	3	1	63	1	99
	-3	1	102	13	1095
	3	1	17	1	101
	-3	1	104	37	995
	3	1	66	1	103
	-3	1	106	34	1125
	3	1	69	1	105
	-3	1	108	1	58
	3	1	18	1	107
	-3	1	110	1	61
	3	1	18	1	109
	-3	1	112	1	64
	3	1	18	1	111
	-3	1	114	1	67
	3	1	18	1	113
	-3	1	116	1	70
	3	1	18	1	115
	-3	1	118	28	1159
	3	1	57	1	117
	-3	1	120	30	1187
	3	1	60	1	119
	-3	1	122	1	123
	3	1	57	1	121
	-3	1	121	1	566
	-3	1	125	1	126
	3	1	16	1	124
	-3	1	124	1	566
	-3	1	128	1	129
	3	1	103	1	127
	-3	1	127	1	753
	-3	1	131	1	132
	3	1	57	1	130
	-3	1	130	1	585
	2	2	1	1	570
	3	1	63	1	133
	3	1	5	1	133
	2	2	3	1	333
	3	1	4	1	136
	3	1	69	1	136
	2	2	5	1	333
	3	1	2	1	139
	3	1	69	1	139
	2	2	7	1	333
	3	1	66	1	142
	3	1	69	1	142
	2	2	9	1	336
	3	1	4	1	145
	3	1	69	1	145
	2	2	11	1	336
	3	1	2	1	148
	3	1	69	1	148
	2	2	13	1	336
	3	1	66	1	151
	3	1	69	1	151
	2	2	15	1	587
	3	1	66	1	154
	3	1	69	1	154
	2	2	17	1	346
	3	1	66	1	157
	3	1	69	1	157
	2	3	19	1	824
	3	1	60	1	160
	3	1	63	1	160
	3	1	69	1	160
	2	3	22	1	374
	3	1	60	1	164
	3	1	63	1	164
	3	1	69	1	164
	2	3	25	1	811
	3	1	72	1	168
	3	1	57	1	168
	3	1	60	1	168
	2	3	28	1	803
	3	1	72	1	172
	3	1	57	1	172
	3	1	69	1	172
	2	3	31	1	804
	3	1	72	1	176
	3	1	57	1	176
	3	1	69	1	176
	2	2	34	1	330
	3	1	90	1	180
	3	1	92	1	180
	2	2	36	1	330
	3	1	92	1	183
	2	2	38	1	747
	3	1	60	1	185
	3	1	99	1	185
	2	2	40	1	388
	3	1	99	1	188
